,open,high,low,close
2007-01-03 00:00:00+00:00,86.3,86.58,81.9,83.8
2007-01-04 00:00:00+00:00,84.05,85.95,83.82,85.64
2007-01-05 00:00:00+00:00,85.76,86.2,84.4,85.15
2007-01-08 00:00:00+00:00,85.94,88.92,85.28,85.44
2007-01-09 00:00:00+00:00,86.49,92.98,85.15,92.55
2007-01-10 00:00:00+00:00,94.74,97.8,93.45,97.15
2007-01-11 00:00:00+00:00,95.94,98.85,95.1,95.86
2007-01-12 00:00:00+00:00,94.59,95.06,93.23,94.69
2007-01-16 00:00:00+00:00,95.69,97.25,95.45,97.1
2007-01-17 00:00:00+00:00,97.56,97.6,94.82,95.05
2007-01-18 00:00:00+00:00,92.09,92.11,89.05,89.08
2007-01-19 00:00:00+00:00,88.57,89.65,88.12,88.49
2007-01-22 00:00:00+00:00,89.13,89.16,85.65,86.77
2007-01-23 00:00:00+00:00,85.73,87.51,85.51,85.69
2007-01-24 00:00:00+00:00,86.68,87.15,86.08,86.7
2007-01-25 00:00:00+00:00,87.12,88.5,86.03,86.25
2007-01-26 00:00:00+00:00,87.12,87.37,84.99,85.42
2007-01-29 00:00:00+00:00,86.27,86.65,85.53,85.93
2007-01-30 00:00:00+00:00,86.45,86.49,85.25,85.55
2007-01-31 00:00:00+00:00,84.86,86.0,82.8,85.72
2007-02-01 00:00:00+00:00,86.23,89.25,84.73,84.73
2007-02-02 00:00:00+00:00,84.06,85.25,83.7,84.79
2007-02-05 00:00:00+00:00,84.3,85.23,83.94,83.94
2007-02-06 00:00:00+00:00,84.46,85.05,82.86,84.09
2007-02-07 00:00:00+00:00,84.5,86.38,83.55,86.15
2007-02-08 00:00:00+00:00,85.41,86.51,85.4,86.15
2007-02-09 00:00:00+00:00,85.88,86.2,83.21,83.26
2007-02-12 00:00:00+00:00,84.47,85.18,83.63,84.93
2007-02-13 00:00:00+00:00,85.16,85.29,84.3,84.65
2007-02-14 00:00:00+00:00,84.56,85.64,84.43,85.28
2007-02-15 00:00:00+00:00,85.3,86.32,84.78,85.24
2007-02-16 00:00:00+00:00,85.25,85.41,84.66,84.76
2007-02-20 00:00:00+00:00,84.65,86.16,84.16,85.9
2007-02-21 00:00:00+00:00,85.98,89.49,85.96,89.2
2007-02-22 00:00:00+00:00,90.8,90.81,88.53,89.51
2007-02-23 00:00:00+00:00,89.19,90.34,86.0,89.0
2007-02-26 00:00:00+00:00,89.84,90.0,87.61,88.55
2007-02-27 00:00:00+00:00,86.27,87.08,83.41,83.95
2007-02-28 00:00:00+00:00,84.57,85.6,83.0,84.57
2007-03-01 00:00:00+00:00,84.03,88.31,83.75,87.12
2007-03-02 00:00:00+00:00,86.77,87.54,85.21,85.43
2007-03-05 00:00:00+00:00,85.89,88.65,85.76,86.28
2007-03-06 00:00:00+00:00,87.75,88.31,87.4,88.19
2007-03-07 00:00:00+00:00,88.05,88.97,87.45,87.73
2007-03-08 00:00:00+00:00,88.6,88.72,87.46,87.96
2007-03-12 00:00:00+00:00,88.05,89.99,85.72,89.88
2007-03-13 00:00:00+00:00,89.41,90.6,88.4,88.4
2007-03-14 00:00:00+00:00,88.6,90.0,87.92,89.99
2007-03-15 00:00:00+00:00,89.96,90.36,89.31,89.57
2007-03-16 00:00:00+00:00,89.47,89.99,89.32,89.57
2007-03-19 00:00:00+00:00,90.24,91.55,87.82,91.14
2007-03-20 00:00:00+00:00,91.36,92.67,91.06,91.47
2007-03-21 00:00:00+00:00,91.99,94.0,91.65,93.87
2007-03-22 00:00:00+00:00,93.77,94.36,93.0,93.86
2007-03-23 00:00:00+00:00,93.35,94.07,93.3,93.52
2007-03-26 00:00:00+00:00,93.99,96.73,93.3,95.9
2007-03-27 00:00:00+00:00,95.72,96.83,95.0,95.43
2007-03-28 00:00:00+00:00,94.88,95.4,93.15,93.21
2007-03-29 00:00:00+00:00,94.19,95.16,92.23,93.75
2007-04-02 00:00:00+00:00,94.15,94.25,93.02,93.63
2007-04-03 00:00:00+00:00,94.14,95.23,93.02,94.47
2007-04-04 00:00:00+00:00,94.95,95.14,94.13,94.29
2007-04-05 00:00:00+00:00,94.12,94.67,93.52,94.67
2007-04-09 00:00:00+00:00,95.21,95.3,93.04,93.6
2007-04-10 00:00:00+00:00,93.67,95.91,93.41,94.24
2007-04-11 00:00:00+00:00,93.93,93.95,92.33,92.53
2007-04-12 00:00:00+00:00,92.05,92.31,90.72,92.15
2007-04-13 00:00:00+00:00,90.89,91.4,90.06,90.25
2007-04-16 00:00:00+00:00,90.59,91.5,90.25,91.45
2007-04-17 00:00:00+00:00,92.0,92.3,89.7,90.35
2007-04-18 00:00:00+00:00,90.15,90.85,89.6,90.36
2007-04-19 00:00:00+00:00,90.19,91.25,89.83,90.27
2007-04-20 00:00:00+00:00,90.96,91.18,19.85,90.96
2007-04-23 00:00:00+00:00,91.6,93.8,91.42,93.54
2007-04-24 00:00:00+00:00,93.96,96.39,89.1,93.24
2007-04-25 00:00:00+00:00,94.23,95.4,93.08,95.31
2007-04-26 00:00:00+00:00,101.58,105.0,94.75,98.84
2007-04-27 00:00:00+00:00,98.17,99.95,97.69,99.91
2007-04-30 00:00:00+00:00,100.09,101.0,99.67,99.81
2007-05-01 00:00:00+00:00,99.68,100.35,98.55,99.47
2007-05-02 00:00:00+00:00,99.68,100.35,98.55,99.47
2007-05-03 00:00:00+00:00,100.74,101.45,100.01,100.4
2007-05-04 00:00:00+00:00,100.8,101.6,100.5,100.8
2007-05-07 00:00:00+00:00,101.08,104.35,101.01,103.91
2007-05-08 00:00:00+00:00,103.47,105.15,100.37,105.09
2007-05-09 00:00:00+00:00,104.9,106.95,104.87,106.95
2007-05-10 00:00:00+00:00,106.63,108.84,105.92,107.36
2007-05-11 00:00:00+00:00,107.74,109.13,106.67,108.8
2007-05-14 00:00:00+00:00,109.64,110.0,107.6,109.42
2007-05-15 00:00:00+00:00,109.62,110.2,106.48,107.51
2007-05-16 00:00:00+00:00,108.5,110.65,103.42,107.31
2007-05-17 00:00:00+00:00,107.15,109.87,107.15,109.47
2007-05-18 00:00:00+00:00,110.3,110.64,109.77,110.02
2007-05-21 00:00:00+00:00,110.31,112.45,108.55,111.97
2007-05-22 00:00:00+00:00,112.45,113.75,112.01,113.52
2007-05-23 00:00:00+00:00,114.02,115.0,112.59,112.89
2007-05-24 00:00:00+00:00,112.81,114.46,110.37,110.72
2007-05-25 00:00:00+00:00,112.0,113.78,111.5,113.62
2007-05-29 00:00:00+00:00,114.59,114.86,112.69,114.35
2007-05-30 00:00:00+00:00,114.31,118.88,113.53,118.82
2007-05-31 00:00:00+00:00,120.06,122.17,119.54,121.46
2007-06-01 00:00:00+00:00,121.13,121.19,118.29,118.35
2007-06-04 00:00:00+00:00,118.64,121.73,117.9,121.31
2007-06-05 00:00:00+00:00,121.39,124.35,120.5,122.68
2007-06-06 00:00:00+00:00,122.35,124.05,121.95,123.64
2007-06-07 00:00:00+00:00,124.99,127.61,123.0,124.02
2007-06-08 00:00:00+00:00,125.82,125.83,122.29,124.46
2007-06-11 00:00:00+00:00,125.87,126.15,119.54,120.17
2007-06-12 00:00:00+00:00,119.35,121.71,118.31,120.43
2007-06-13 00:00:00+00:00,119.35,121.71,118.31,120.43
2007-06-14 00:00:00+00:00,117.2,119.45,116.42,118.9
2007-06-15 00:00:00+00:00,120.62,120.67,112.98,120.5
2007-06-18 00:00:00+00:00,123.3,125.18,122.54,125.04
2007-06-19 00:00:00+00:00,124.69,125.01,122.91,123.66
2007-06-20 00:00:00+00:00,123.85,124.66,120.49,121.62
2007-06-21 00:00:00+00:00,121.76,124.29,120.72,123.9
2007-06-22 00:00:00+00:00,123.85,124.45,122.38,123.0
2007-06-25 00:00:00+00:00,124.18,125.09,121.06,122.23
2007-06-26 00:00:00+00:00,123.96,124.0,118.72,119.71
2007-06-27 00:00:00+00:00,120.6,122.04,119.26,121.99
2007-06-28 00:00:00+00:00,122.49,122.49,120.0,120.56
2007-06-29 00:00:00+00:00,121.97,124.0,121.09,122.08
2007-07-02 00:00:00+00:00,121.05,122.09,119.3,121.25
2007-07-03 00:00:00+00:00,122.0,127.4,121.5,126.85
2007-07-05 00:00:00+00:00,128.8,132.97,128.69,132.74
2007-07-06 00:00:00+00:00,133.18,133.34,130.4,132.3
2007-07-09 00:00:00+00:00,132.37,132.9,129.18,130.31
2007-07-10 00:00:00+00:00,128.88,134.5,128.8,132.39
2007-07-11 00:00:00+00:00,132.1,133.7,131.31,132.29
2007-07-12 00:00:00+00:00,133.85,134.24,132.39,134.1
2007-07-13 00:00:00+00:00,135.05,137.85,134.52,137.66
2007-07-16 00:00:00+00:00,138.39,139.98,137.5,138.08
2007-07-17 00:00:00+00:00,138.3,139.6,137.5,138.86
2007-07-18 00:00:00+00:00,138.19,138.44,136.04,138.13
2007-07-19 00:00:00+00:00,140.39,140.81,139.65,139.85
2007-07-20 00:00:00+00:00,141.65,144.18,140.0,143.75
2007-07-23 00:00:00+00:00,143.32,145.22,140.93,143.69
2007-07-24 00:00:00+00:00,138.89,141.0,134.15,135.0
2007-07-25 00:00:00+00:00,138.89,141.0,134.15,135.0
2007-07-26 00:00:00+00:00,145.91,148.5,142.05,146.69
2007-07-27 00:00:00+00:00,146.25,148.92,143.84,146.24
2007-07-30 00:00:00+00:00,144.3,145.45,139.57,141.55
2007-07-31 00:00:00+00:00,142.96,143.48,131.52,131.65
2007-08-01 00:00:00+00:00,133.64,135.38,127.77,133.38
2007-08-02 00:00:00+00:00,136.65,136.96,134.15,136.45
2007-08-03 00:00:00+00:00,135.19,135.95,131.5,131.8
2007-08-06 00:00:00+00:00,132.9,135.27,128.3,135.19
2007-08-07 00:00:00+00:00,134.93,137.24,132.63,135.08
2007-08-08 00:00:00+00:00,136.7,136.86,132.0,134.0
2007-08-09 00:00:00+00:00,131.1,133.0,125.09,126.8
2007-08-10 00:00:00+00:00,123.11,127.75,120.3,125.0
2007-08-13 00:00:00+00:00,128.43,129.35,126.5,127.86
2007-08-14 00:00:00+00:00,128.289,128.3,123.71,124.12
2007-08-15 00:00:00+00:00,122.74,124.86,119.65,119.97
2007-08-16 00:00:00+00:00,117.13,118.5,111.62,117.3
2007-08-17 00:00:00+00:00,122.09,123.5,119.82,122.06
2007-08-20 00:00:00+00:00,123.94,124.5,120.5,122.22
2007-08-21 00:00:00+00:00,122.16,128.96,121.0,127.65
2007-08-22 00:00:00+00:00,131.19,132.75,130.33,132.51
2007-08-23 00:00:00+00:00,133.1,133.34,129.759,131.02
2007-08-24 00:00:00+00:00,130.58,135.37,129.81,135.29
2007-08-27 00:00:00+00:00,133.41,134.66,132.1,132.3
2007-08-28 00:00:00+00:00,130.99,132.41,126.63,126.89
2007-08-29 00:00:00+00:00,129.88,134.18,128.0,134.02
2007-08-30 00:00:00+00:00,132.67,138.25,132.3,136.19
2007-08-31 00:00:00+00:00,139.5,139.65,137.41,138.46
2007-09-04 00:00:00+00:00,139.98,145.73,139.84,144.17
2007-09-05 00:00:00+00:00,144.97,145.84,131.12,136.79
2007-09-06 00:00:00+00:00,135.56,137.57,132.71,135.0
2007-09-07 00:00:00+00:00,132.08,132.3,130.0,131.81
2007-09-10 00:00:00+00:00,137.0,138.04,133.95,136.73
2007-09-11 00:00:00+00:00,137.9,138.3,133.75,135.49
2007-09-12 00:00:00+00:00,135.99,139.4,135.75,136.83
2007-09-13 00:00:00+00:00,138.77,139.0,136.65,137.2
2007-09-14 00:00:00+00:00,136.54,138.98,136.2,138.67
2007-09-17 00:00:00+00:00,139.03,140.59,137.6,138.41
